Table 1,,,,,,,,,,
,,IPHONE,,,,,,,,
S NO.,BRAND,MODEL,COLOUR,GB,CONDITION,BATTREY,CYCLE,WARRANTY,PRICE,
P-49,APPLE,14PLUS,WHITE,128,1,0.93,,1 MONTH,34500,
P-50,APPLE,14PLUS,PURPLE,128,1,0.83,,1 MONTH,36500,
O-849,APPLE,14,PURPLE,128,1,0.88,,1 MONTH,31900,
O-971,APPLE,14,BLACK,128,1,0.98,,26-11-26,37500,
P-48,APPLE,14,BLACK,128,1,0.84,,1 MONTH,31500,
P-70,APPLE,14,BLACK,128,1,0.83,,1 MONTH,29999,
O-968,APPLE,13,BLUE,128,1,0.89,,1 MONTH,28500,GLOBAL
O-975,APPLE,13,BLUE,256,1,0.89,,1 MONTH,32500,
O-983,APPLE,13,BLUE,128,0.95,0.78,,1 MONTH,21500,
P-46,APPLE,13,GREEN,256,0.98,0.73,,1 MONTH,29500,
P-47,APPLE,13,PINK,128,1,0.87,,1 MONTH,29000,
P-66,APPLE,13,BLUE,128,0.99,0.84,,1 MONTH,26999,
O-695,APPLE,13PRO,SILVER,256,1,1,,1 YEAR,54500,
O-920,APPLE,13PRO,GOLD,128,1,0.77,,1 MONTH,32500,
O-999,APPLE,13MINI,BLACK,128,0.99,0.78,,1 MONTH,24000,
O-931,APPLE,13MINI,BLUE,128,1,1,,1 MONTH,29500,
O-889,APPLE,12,BLUE,64,0.96,0.8,,1 MONTH,14999,
O-944,APPLE,12,BLACK,256,0.98,0.78,,1 MONTH,21500,
O-970,APPLE,12,GREEN,128,1,0.88,,1 MONTH,22500,
P-67,APPLE,12,BLACK,128,1,0.8,,1 MONTH,17999,
,,,,,,,,,,
,,IPAD,,,,,,,,
,,,,,,,,,,
,,APPLE WATCH,,,,,,,,
S NO.,BRAND,MODEL,COLOUR,DETAILS,SIZE,CONDITION,BATTREY,CYCLE,WARRANTY,PRICE
O-494,APPLE,IWATCH S5,SS BLACK,G+C,44MM,0.99,0.76,,1 MONTH ,
M-834,APPLE,IWATCH S4,BLACK,GPS,44MM,0.99,0.83,,1 MONTH ,7000
O-825,APPLE,IWATCH ULTRA 2,BLACK,G+C,49MM,1,0.99,,1 MONTH ,38500
,,AIRPODS,,,,,,,,
S NO.,BRAND,MODEL,COLOUR,KIT,CONDITION,WARRANTY,PRICE,,,
O-735,APPLE,AIRPODS PRO 3,WHITE,NEW,100,ACTIVE,17999,LOOSE,,
,,MACBOOK,,,,,,,,
S NO.,BRAND,MODEL,COLOUR,GB,CONDITION,BATTREY,CYCLE,WARRANTY,SELL PRICE,DETAILS
,,,,,,,,,,
,,ANDROID,,,,,,,,
S NO.,BRAND,MODEL,COLOUR,S,CONDITIONS,WARRANTY ,SELL PRICE,,,DETAILS
P-44,SAMSUNG,FOLD 7,BLUE,12/256,100,JANUARY-2027,122999,INDIA,,
O-668,SAMSUNG,FOLD 5,BLACK,12/512,100,1 MONTH,52500,GLOBAL,,
O-982,SAMSUNG,FOLD 5,BLUE,512,100,1 MONTH,,pending ,,
O-941,SAMSUNG,S25 ULTRA,SILVER,12/256,100,6 MONTH,82500,INDIA,,
P-42,SAMSUNG,S25 ULTRA,BLACK,12/512,100,1 MONTH,80500,INDIA,,
P-69,SAMSUNG,S25 ULTRA,JADEGREN,12/512,100,1 MONTH,79900,,,
P-17,SAMSUNG,S25,BLUE,256,100,18/02/27,53500,INDIA,,
P-18,SAMSUNG,S25,SILVER,12/128,100,1 MONTH,38500,GLOBAL,,
P-05,SAMSUNG,S25,SILVER,12/128,100,1MONTH,38500,GLOBAL,,
P-39,SAMSUNG,S24 ULTRA,BLACK,12/256,100,1 MONTH,63500,,,
P-40,SAMSUNG,S24 ULTRA,GREY,12/256,100,1 MONTH,63500,,,
P-35,SAMSUNG,S24,YELLOW,8/128,100,1 MONTH,31500,INDIA,,
P-41,SAMSUNG,S24,SILVER,8/256,100,1 MONTH,35999,INDIA,,
P-10,SAMSUNG,S23FE,GREY,8/256,100,1 MONTH,23000,INDIA,,
P-34,SAMSUNG,S23,GREEN,8/256,100,1MONTH,28500,INDIA,,
RO-911,SAMSUNG,S23,LIME,12/128,100,1 MONTH,26500,,,
P-37,SAMSUNG,S22PLUS,GREEN,8/128,100,1 MONTH,20500,,,
O-564,SAMSUNG,FLIP 5,MINT,12/256,100,1 MONTH,29900,INDIA,,
O998,SAMSUNG,FLIP 6,BIUE,12/512,100,16/06/27,51500,INDIA,,
O-845,SAMSUNG,S21FE,BLACK,8/256,99,1 MONTH,12500,INDIA,,
J-688,SAMSUNG,NOTE 20,BLACK,8/128,97-98,1 MONTH,12000,GLOBAL,,NOT S PEN
O-830,GOOGLE,PIXEL 10PRO FOLD,MOONSTONE,16/256,100,ONLY ACTIVE,110500,1-CYCLE,,
O-893,GOOGLE,PIXEL 10PRO FOLD,MOONSTONE,16/256,100,NOVEMBER-2026,108500,30 CYCLE,,
O-922,GOOGLE,PIXEL 10,BLUE,12/128,100,JANUARY-2027,53500,GLOBAL,,
O-682,GOOGLE,PIXEL 8,HAZEL,8/128,100,1 MONTH,27500,,,
O-677,GOOGLE,PIXEL 9PRO,BLACK,12/128,100,1 MONTH,47999,,,
O-697,GOOGLE,PIXEL 6PRO,CREAM,12/128,100,1 MONTH,20900,,,
N-539,GOOGLE,PIXEL 6A,GREEN,6/128,100,1 MONTH,14999,,,
